Symbol	Company Name	Industry	Market Cap			
A	Agilent Technologies	Life Sciences Tools & Services	43.91B			
AA	Alcoa	Metals & Mining	8.43B			
AAC	Ares Acquisition	Blank Check / SPAC	999.50M			
AACG	ATA Creativity Global	Diversified Consumer Services	52.40M			
AACI	Armada Acquisition I	Blank Check / SPAC	206.27M			
AADI	Aadi Bioscience	Biotechnology	328.11M			
AAIC	Arlington Asset Investment	Mortgage Real Estate Investment Trust...	91.30M			
AAL	American Airlines Group	Airlines	9.67B			
AAMC	Altisource Asset Management	Real Estate Management & Development	32.91M			
AAME	Atlantic American	Insurance	62.42M			
AAN	The Aaron's Company	Specialty Retail	352.13M			
AAOI	Applied Optoelectronics	Communications Equipment	66.46M			
AAON	"AAON, Inc."	Building Products	4.15B			
AAP	Advance Auto Parts	Specialty Retail	11.21B			
AAPL	Apple	"Technology Hardware, Storage & Periph..."	"2,381.44B"			
AAQC	Accelerate Acquisition	Blank Check / SPAC	396.40M			
AAT	American Assets Trust	Equity Real Estate Investment Trusts ...	1.73B			
AATC	Autoscope Technologies	Scientific & Technical Instruments	22.43M			
AAU	Almaden Minerals	Metals & Mining	35.53M			
AAWW	Atlas Air Worldwide Holdings	Air Freight & Logistics	2.84B			
AB	AllianceBernstein Holding	Capital Markets	3.94B			
ABB	ABB Ltd	Electrical Equipment	59.21B			
ABBV	AbbVie	Biotechnology	265.55B			
ABC	AmerisourceBergen	Health Care Providers & Services	31.47B			
ABCB	Ameris Bancorp	Banks	3.71B			
ABCL	AbCellera Biologics	Biotechnology	3.87B			
ABCM	Abcam	Biotechnology	3.86B			
ABEO	Abeona Therapeutics	Biotechnology	26.12M			
ABEV	Ambev	Beverages	47.07B			
ABG	Asbury Automotive Group	Specialty Retail	4.01B			
ABGI	ABG Acquisition I	Blank Check / SPAC	155.82M			
ABIO	ARCA biopharma	Biotechnology	28.96M			
ABM	ABM Industries	Commercial Services & Supplies	2.96B			
ABMD	Abiomed	Health Care Equipment & Supplies	16.86B			
ABNB	Airbnb	"Hotels, Restaurants & Leisure"	43.64B			
ABOS	Acumen Pharmaceuticals	Biotechnology	275.42M			
ABR	Arbor Realty Trust	Mortgage Real Estate Investment Trust...	2.57B			
ABSI	Absci	Biotechnology	332.38M			
ABST	Absolute Software	Software-Application	512.55M			
ABT	Abbott Laboratories	Health Care Equipment & Supplies	181.49B			
ABUS	Arbutus Biopharma	Biotechnology	383.87M			
ABVC	ABVC BioPharma	Biotechnology	23.55M			
AC	Associated Capital Group	Capital Markets	125.56M			
ACA	Arcosa	Construction & Engineering	2.84B			
ACAB	Atlantic Coastal Acquisition II	Blank Check / SPAC	302.10M			
ACAC	Acri Capital Acquisition	Blank Check / SPAC	86.94M			
ACAD	ACADIA Pharmaceuticals	Biotechnology	2.65B			
ACAH	Atlantic Coastal Acquisition	Blank Check / SPAC	342.93M			
ACAQ	Athena Consumer Acquisition	Blank Check / SPAC	243.73M			
ACAX	Alset Capital Acquisition	Blank Check / SPAC	90.08M			
ACB	Aurora Cannabis	Pharmaceuticals	459.67M			
ACBA	Ace Global Business Acquisition	Blank Check / SPAC	63.75M			
ACCD	Accolade	Health Care Technology	698.53M			
ACCO	ACCO Brands	Commercial Services & Supplies	527.86M			
ACDC	ProFrac Holding	Oil & Gas Equipment & Services	1.00B			
ACDI	Ascendant Digital Acquisition III	Blank Check / SPAC	306.30M			
ACEL	Accel Entertainment	"Hotels, Restaurants & Leisure"	750.47M			
ACER	Acer Therapeutics	Pharmaceuticals	19.80M			
ACET	Adicet Bio	Health Care Providers & Services	911.45M			
ACEV	ACE Convergence Acquisition	Blank Check / SPAC	41.70M			
ACGL	Arch Capital Group	Insurance	21.00B			
ACHC	Acadia Healthcare Company	Health Care Providers & Services	7.34B			
ACHL	Achilles Therapeutics	Biotechnology	69.19M			
ACHR	Archer Aviation	Aerospace & Defense	483.05M			
ACHV	Achieve Life Sciences	Biotechnology	20.33M			
ACI	Albertsons Companies	Grocery Stores	10.97B			
ACII	Atlas Crest Investment II	Shell Companies	346.38M			
ACIU	AC Immune	Biotechnology	235.23M			
ACIW	ACI Worldwide	Software	2.34B			
ACKIT	Ackrell SPAC Partners I Co.	Capital Markets	158.56M			
ACLS	Axcelis Technologies	Semiconductors & Semiconductor Equipment	2.53B			
ACLX	Arcellx	Biotechnology	980.67M			
ACM	AECOM	Construction & Engineering	10.84B			
ACMR	ACM Research	Semiconductors & Semiconductor Equipment	517.64M			
ACN	Accenture	IT Services	182.78B			
ACNB	ACNB Corporation	Banks	336.16M			
ACNT	Ascent Industries Co.	Steel	110.43M			
ACON	Aclarion	Health Information Services	7.74M			
ACOR	Acorda Therapeutics	Biotechnology	17.25M			
ACQR	Independence Holdings	Shell Companies	495.91M			
